"Site","Serenoa","Aristida","Andropogon","Yucca","Vitus","Gelsemium","Smilax","Licania","Kalmia","Gaylussacia","Vaccinium","Hypericum","Myrica","Conradina","Calamintha","Quercus","Aronia","Ilex","Garberia","Rubus","Toxicodendron","Asimina","Callicarpa","Lyonia","Clethra","Rhus","Bejaria","Cyrilla","Chionanthus","Diospyros","Cornus","Symplocos","Magnolia","Acer","Liquidamber","Pinus"
"E100B-E",0.14951,0.27443,0.02276,0,0.156641944361352,0.135204283577625,0.051053772061023,0,0,0.06426,0.3150625,0,0,0,0,1.44534625,0,1.10959625,0,0.00258625,0,0,0,0,0,0,0,0,0,0,0,0.24936,0.80539,0,0,0
"A34",0.4015375,0.876975,0.002245,0.00872,0,0,0,0,0,0.10157,0.06615,0.0257,0.03895,0,0,0.44174,0,0.0368875,0,0,0,0,0,0.63026,0,0,0,0,0,0,0,0,0,0,0,0
"A18",0.20956375,0.51024,0.002565,0.00219,0,0,0.004615,0,0.008535,0.102055,0.109285,0.021535,0.04819,0,0,0.7214325,0,0.395295,0,0,0,0,0,1.074845,0,0,0,0,0,0,0,0,0,0,0,0
"A213",0.9153175,0.085605,0,0,0,0,0.00335,0,0,0.00193,0.00915,0.03038,0,0,0,1.31256875,0,0.070415,0,0,0,0,0,0.432965,0,0,0,0.00033,0,0,0,0,0,0,0,0
"E501B",0.59767125,1.69896,0.02868,0,0,0,0.008255,0,0,0.01606,0.014095,0,0,0,0,0.24678125,0.000585,0.986615,0,7.50000000000001e-05,0,0,0,0,0,0,0,0.7398225,0,0,0,0.002515,0.046715,0,0,0
"E505",0.03072875,1.377585,0.0509,0,0,0,0.028485,0.07758,0,0.030945,0.197875,0,0.001235,0,0,0.248775,0.0109975,1.198415,0,0,0,0,0,0.1338125,0,0,0,0,0,0,0,0,0.0006625,0,0,0
"A319",0.779835,0.02553,0.00014,0.00013625,0,0,0.01532,0,0,0.041685,0.31413,0,0.018195,0,0,1.7855575,0,0.13409,0,0,0,0,0,0.38903,0.04120875,0,0,0.01441625,0,0,0,0,0,0,0,0
"E807B",0.37414625,0.12994,0.124865,0,0.0698187726358149,0.0528339637826962,0.168727263581489,0.01034,0.00057875,0.06285875,0.27893,0,0,0,0,1.21590125,0,0.9113975,0,0,0,0,0,0.54023125,0,0,0,0,0,0,0,0,0.0631525,0,0,0
"S330",0.2518325,0.13637,0.208145,0,0,0,0.0474,0,0,0.059405,0.19745625,0.06103,0,0,0,1.20334375,0,0.494975,0,0,0,0.00067875,0,0,0.0013,0,0,0.0825175,0,0,0,0,0,0,0,0
"E807D",0.497355,0.0938,0.01509,0,0,0.0648267432367223,0.0276682567632777,0.01916,0.09102,0.012005,0.12448875,0.003765,0,0,0,0.639385,0,1.44203375,0,0,0,0,0,0.499855,0,0,0,0,0,0,0,0,0.03726375,0,0,0
"A71",0.29281625,0.518795,0.020665,0,0,0,0.054925,0,0,0,0.037355,0.00119,0.00228,0,0,0.42752125,0,0.128515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A302",0.67336875,0.449295,0.002275,0,0,0,0.005365,0,0.000725,0.022505,0.170745,0.006355,0.006065,0,0,1.058425,0,0.406175,0,0,0,0,0,0.2676375,0,0,0,0,0,0,0,0,0,0,0,0
"A32",0.32776875,0.34305,0.14276,0.0070925,0,0,0.00206,0,0,0.00128,0.2112825,0,0.029285,0,0,1.034015,0,0.00106125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E100B-W",0.5232125,0.07748,0.009635,0.015715,0,0,0.04024,0,0.017375,0.07253,0.02817,0,0,0,0,0.2202225,0,0.50496,0,0,0,0,0,0.1435225,0,0,0,0,0,0,0,0,0,0,0,0
"E508A",0.38605375,1.625955,0,0,0.00505180235450174,0,0.0436181976454982,0.03996,0,0.191125,0.04894125,0,0,0.0099,0,0.466695,0,1.02769,0,0,0,0,0,0,0,0.00016125,0,0,0.03665625,0,0,0,0,0,0,0
"S209",1.45116125,0.038005,0.36876,0,0,0,0,0,0.062595,0.08391,0.62492625,0,0,0,0,0.813535,0,1.11642625,0,0,0,0,0,0.96165625,0.03666375,0,0,0,0,0,0,0,0,0,0,0
